,SMILES,liv,lun,sto,mgl,liv_reliability,lun_reliability,sto_reliability,mgl_reliability
0,C(/C=C/Cl)Cl,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
1,C(C(CBr)Br)O,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
2,C(C(CBr)Br)OP(=O)(OCC(CBr)Br)OCC(CBr)Br,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
3,C(C(CCl)Cl)Cl,1.0,0.0,1.0,1.0,explicit,implicit,explicit,explicit
4,C(C(CO)(CBr)CBr)O,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
5,C(C=CCl)Cl,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
6,C(CBr)Br,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
7,C(CCl)Cl,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
8,C(CN(C(=O)N)N=O)CO,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
9,C(CO)N(C(=O)N)N=O,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
10,C(Cl)(Cl)(Cl)Cl,1.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
11,C(Cl)Cl,1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
12,C1(C(=C(C(=O)O1)Cl)C(Cl)Cl)O,1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
13,C1=C(OC(=C1)[N+](=O)[O-])/C=C/C2=NOC(=N2)N,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
14,C1=C(OC(=C1)[N+](=O)[O-])C2=CSC(=N2)NNC=O,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
15,C1=CC(=C(C=C1CC2=CC(=C(C=C2)N)Cl)Cl)N,1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
16,C1=CC(=C(C=C1Cl)N)N,1.0,0.0,1.0,0.0,explicit,implicit,explicit,implicit
17,C1=CC(=CC=C1C2=CC=C(C=C2)N)N,1.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
18,C1=CC2=C(C(=C1)[N+](=O)[O-])N=CC=C2,0.0,0.0,1.0,0.0,explicit,implicit,explicit,implicit
19,C1=CC2=C3C(=C(C=C2)[N+](=O)[O-])C=CC4=C(C=CC1=C43)[N+](=O)[O-],1.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
20,C1=CC=C(C=C1)CCN(C(=O)N)N=O,1.0,0.0,1.0,0.0,explicit,implicit,explicit,implicit
21,C1=CC=C(C=C1)CCl,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
22,C1=CC=C(C=C1)[N+](=O)[O-],1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
23,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3Br)Br)N,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
24,C1=CC=C2C(=C1)C3=C4[C@@]25[C@@H](O5)C(C(C4=CC=C3)O)O,1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
25,C1=CC=C2C(=C1)C3=CC=CC4=C3C5=C2C6=C(C=C5C=C4)[C@H]([C@@H]([C@H]7[C@@H]6O7)O)O,1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
26,C1=CC=C2C(=C1)C=CC3=C2C4=C(N3)C=CC5=CC=CC=C54,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
27,C1=CC=C2C(=C1)C=CC3=C2C=C(C4=CC=CC=C34)[N+](=O)[O-],1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
28,C1=CC=C2C(=C1)C=CC3=C4C=CC5=C(C4=C6C(=C32)O6)C(=C(C=C5)O)O,1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
29,C1=CC=C2C(=C1)C=CC3=CC4=C(C=CC5=CC=CC=C54)C=C32,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
30,C1=CC=C2C(=C1)C=CO2,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
31,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
32,C1=CC=CC=C1,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
33,C1=CN=CC=C1C(=O)NN,1.0,1.0,0.0,1.0,explicit,explicit,explicit,explicit
34,C1=COC(=C1)C(=CC2=CC=C(O2)[N+](=O)[O-])C(=O)N,0.0,0.0,1.0,1.0,explicit,implicit,explicit,explicit
35,C1C(O1)C2=CC=CC=C2,1.0,0.0,1.0,0.0,explicit,implicit,explicit,implicit
36,C1C(O1)CCl,0.0,0.0,1.0,0.0,explicit,implicit,explicit,implicit
37,C1C(O1)CO,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
38,C1C(O1)OC(=O)N,1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
39,C1C2=CC=CC=C2C3=C1C=C(C=C3)N,1.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
40,C1C2=CC=CC=C2C3=C1C=C(C=C3)NC(=O)C(F)(F)F,1.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
41,C1C2=CC=CC=C2C3=C1C=C(C=C3)[N+](=O)[O-],1.0,0.0,1.0,0.0,explicit,implicit,explicit,implicit
42,C1CC2=CC=C(C3=CC=CC1=C23)[N+](=O)[O-],1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
43,C1CCCN(CC1)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
44,C1CCCN(CCC1)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
45,C1CCN(CC1)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
46,C1CN(CC=C1)N=O,1.0,0.0,1.0,0.0,explicit,implicit,explicit,implicit
47,C1CN(P(=O)(OC1)NCCCl)CCCl,0.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
48,C1COC(=O)N1N=O,1.0,0.0,1.0,0.0,explicit,implicit,explicit,implicit
49,C1COCCN1N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
50,C=C(Cl)Cl,1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
51,C=CC#N,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
52,C=CC(=C)Cl,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
53,C=CC1=CC=CC=C1,0.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
54,C=CC=C,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
55,C=CCN(CC=C)N,0.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
56,C=CCl,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
57,C=CF,1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
58,CBr,0.0,0.0,1.0,0.0,explicit,explicit,explicit,implicit
59,CC(=C)C=C,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
60,CC(=O)CNCC(C(N=O)O)O,0.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
61,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2=O,1.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
62,CC(=O)NC1=NN=C(S1)C2=CC=C(O2)[N+](=O)[O-],1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
63,CC(=O)OC(C=C)C1=CC2=C(C=C1)OCO2,0.0,0.0,1.0,0.0,explicit,implicit,explicit,implicit
64,CC(=O)OC=C,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
65,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=C(C4=CC(=O)[C@@H]5C[C@@H]5[C@]34C)Cl)C)OC(=O)C,1.0,0.0,1.0,0.0,explicit,implicit,explicit,implicit
66,CC(C(C1=CC=CC=C1)O)N(C)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
67,CC(CCl)OC(C)CCl,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
68,CC(CN(C(=O)N)N=O)O,1.0,0.0,1.0,0.0,explicit,implicit,explicit,implicit
69,CC/C(=C(/CC)\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)O,1.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
70,CC/C=C/C=C/C=C/C=C/C=C/OC[C@H](CO)O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
71,CC1=C(C=C(C=C1)N)N,1.0,0.0,0.0,1.0,explicit,explicit,implicit,explicit
72,CC1=C(C=CC(=C1)CC2=CC(=C(C=C2)N)C)N,1.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
73,CC1=C2C=CC3=CC=CC=C3C2=C(C4=CC=CC=C14)C,1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
74,CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,0.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
75,CC1=CC(=C(C=C1)O)N=NC2=CC=C(C=C2)NC(=O)C,1.0,0.0,1.0,0.0,explicit,explicit,explicit,implicit
76,CC1=CC=CC=C1[N+](=O)[O-],1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
77,CC1=CN=C2C=CC3=C(C2=N1)N=C(N3C)N,1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
78,CC1=NC=C(N1CCO)[N+](=O)[O-],1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
79,CC1CN(CC(O1)C)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
80,CC1CN(CCO1)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
81,CC=NN(C)C=O,0.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
82,CCC(=O)N(C1=CC=C(C=C1)/C=C/C2=CC=CC=C2)O,1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
83,CCCCCCCCCCCCN(C)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
84,CCCCCCCCCCN(C)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
85,CCCCCCCCN(C)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
86,CCCCCCCN(C)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
87,CCCCCCN(C)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
88,CCCCCN(C)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
89,CCCCN(C(=O)N)N=O,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
90,CCCCN(C)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
91,CCCCN(CCCC)N,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
92,CCCCN(CCCC)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
93,CCCCOCCO,1.0,0.0,1.0,0.0,explicit,implicit,explicit,implicit
94,CCCN(C(=O)N)N=O,1.0,0.0,1.0,0.0,explicit,implicit,explicit,implicit
95,CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
96,CCN(C(=O)N)N=O,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
97,CCN(C(=O)NCC(=O)C)N=O,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
98,CCN(CC)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,explicit
99,CCN=[N+](CC)[O-],1.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
100,CCNC(=O)N(CCO)N=O,1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
101,CCNC(=O)NC1=NC=C(S1)[N+](=O)[O-],1.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
102,CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N,0.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
103,CCOC(=O)N,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
104,CCOC1=CC=C(C=C1)NC(=O)C,0.0,0.0,1.0,1.0,explicit,explicit,explicit,explicit
105,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
106,CN(/C(=N/[N+](=O)[O-])/N)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
107,CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,0.0,0.0,0.0,1.0,explicit,explicit,implicit,explicit
108,CN(C1=CC=CC=C1)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
109,CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
110,CN1C2=C(N=CC(=C2)C3=CC=CC=C3)N=C1N,1.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
111,CNNC,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
112,COC1=CC(=C(C=C1)OC)/C=C/C2=CC=C(C=C2)N,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
113,COP(=O)(OC)OC=C(Cl)Cl,0.0,0.0,1.0,1.0,explicit,implicit,explicit,explicit
114,CO[P+](=O)OC,0.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
115,C[C@@H]1CC2=C(C=C(C(=C2C(=O)O1)O)C(=O)NC(CC3=CC=CC=C3)C(=O)O)Cl,1.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
116,C[C@@H]1CC2=C(C=C(C(=C2C(=O)O1)O)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)O)Cl,1.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
117,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)OC,0.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
118,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3CCC(=O)C4,1.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
119,C[N+](=O)[O-],1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
120,NN,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
121,C([C@H]([C@H]([C@@H]([C@@H](CBr)O)O)O)O)Br,0.0,1.0,0.0,1.0,implicit,explicit,implicit,explicit
122,C1=C(C(=O)NC(=O)N1)N(CCCl)CCCl,0.0,1.0,0.0,1.0,implicit,explicit,implicit,explicit
123,C1=C(OC(=C1)[N+](=O)[O-])/C=N/NC(=O)N,0.0,1.0,0.0,1.0,implicit,explicit,implicit,explicit
124,C1=C(OC(=C1)[N+](=O)[O-])C2=CSC(=N2)NC=O,0.0,1.0,1.0,1.0,implicit,explicit,explicit,explicit
125,C1=C(OC(=C1)[N+](=O)[O-])C2=NN=C(O2)N,0.0,1.0,1.0,1.0,implicit,explicit,explicit,explicit
126,C1=C(OC(=C1)[N+](=O)[O-])C2=NN=C(S2)N,0.0,1.0,1.0,1.0,implicit,explicit,explicit,explicit
127,C1=C(SC(=N1)N)[N+](=O)[O-],0.0,1.0,0.0,1.0,implicit,explicit,implicit,explicit
128,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,0.0,1.0,1.0,0.0,implicit,explicit,explicit,implicit
129,C1=CC(=C(C=C1C=CC(=O)O)O)O,0.0,1.0,1.0,0.0,implicit,explicit,explicit,implicit
130,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,0.0,1.0,0.0,1.0,implicit,explicit,implicit,explicit
131,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)[N+](=O)[O-],0.0,1.0,0.0,1.0,implicit,explicit,implicit,explicit
132,C1=CC2=C3C(=C1)C=CC4=C3C(=CC5=C4[C@@H]6[C@@H](O6)[C@H]([C@@H]5O)O)C=C2,0.0,1.0,0.0,1.0,implicit,explicit,implicit,explicit
133,C1=CC=C(C=C1)C(Cl)(Cl)Cl,0.0,1.0,1.0,0.0,implicit,explicit,explicit,implicit
134,C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N,0.0,1.0,0.0,1.0,implicit,explicit,implicit,explicit
135,C1CN(C(=O)N1)C2=NC=C(S2)[N+](=O)[O-],0.0,1.0,1.0,1.0,implicit,explicit,explicit,explicit
136,C1CO1,0.0,1.0,1.0,1.0,implicit,explicit,explicit,explicit
137,C=CC(=O)N,0.0,1.0,0.0,1.0,implicit,explicit,implicit,explicit
138,CC1CN(CC(N1C)C)N=O,0.0,1.0,1.0,0.0,implicit,explicit,explicit,implicit
139,CCCCCCN(C(=O)N)N=O,0.0,1.0,1.0,1.0,implicit,explicit,explicit,explicit
140,CCN(C(=O)NC)N=O,0.0,1.0,0.0,1.0,implicit,explicit,implicit,explicit
141,CCN(CC)C(=S)SCC(=C)Cl,0.0,1.0,1.0,1.0,implicit,explicit,explicit,explicit
142,CCOC(=O)N(C)N=O,0.0,1.0,1.0,0.0,implicit,explicit,explicit,implicit
143,CN(C)/C=N/C1=NN=C(O1)/C=C/C2=CC=C(O2)[N+](=O)[O-],0.0,1.0,1.0,1.0,implicit,explicit,explicit,explicit
144,CN(C)/N=N/C1=C(NC=N1)C(=O)N,0.0,1.0,0.0,1.0,implicit,explicit,implicit,explicit
145,CN(C)N=NC1=C(NC=N1)C(=O)N,0.0,1.0,0.0,1.0,implicit,explicit,implicit,explicit
146,CN(C1=NC=NC2=C1NC=N2)N=O,0.0,1.0,0.0,1.0,implicit,explicit,implicit,explicit
147,C[C@@H]([C@H]1CC[C@@]2([C@@]1(CC[C@H]3C2=CC(=O)[C@H]4[C@@]3(C[C@@H]([C@@H](C4)O)O)C)C)O)[C@@H](CCC(C)(C)O)O,0.0,1.0,0.0,1.0,implicit,explicit,implicit,explicit
148,C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
149,C/C=C/Cl,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
150,C1=C(OC(=C1)[N+](=O)[O-])C2=CSC(=N2)N,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
151,C1=CC(=C(C=C1Cl)N)O,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
152,C1C(O1)COC2=CC(=CC=C2)OCC3CO3,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
153,C1CN(CCN1N=O)N=O,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
154,C=CCCl,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
155,CC(C1OCC(O1)CO)I,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
156,CC(CN(CC(CO)O)N=O)O,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
157,CC1=CC(=C(C=C1)O)O,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
158,CC=CCl,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
159,CCCCCN(C(=O)OCC)N=O,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
160,CCN(/C(=N\[N+](=O)[O-])/N)N=O,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
161,CCOS(=O)(=O)OCC,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
162,CN(C(=N)N[N+](=O)[O-])N=O,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
163,CN(C(=O)NCCC[C@@H](C(=O)O)N)N=O,0.0,0.0,1.0,1.0,implicit,implicit,explicit,explicit
164,CN(C)C(=O)NN=O,0.0,0.0,1.0,1.0,implicit,implicit,explicit,explicit
165,CN(C=O)N=O,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
166,CN(CCC1=CC=CC=C1)N=O,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
167,COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)OC)N,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
168,C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl,0.0,0.0,0.0,1.0,implicit,implicit,implicit,explicit
169,C1=CC=C2C=C3C=C(C=CC3=CC2=C1)N,0.0,0.0,0.0,1.0,implicit,implicit,implicit,explicit
170,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,0.0,0.0,0.0,1.0,implicit,implicit,implicit,explicit
171,CC(=O)N(C1=CC=CC2=C1CC3=CC=CC=C32)C(=O)C,0.0,0.0,0.0,1.0,implicit,implicit,implicit,explicit
172,CC(=O)NC1=CC=C(C=C1)C2=CC=C(C=C2)N(C(=O)C)O,0.0,0.0,0.0,1.0,implicit,implicit,implicit,explicit
173,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=C(C4=CC(=O)CC[C@]34C)Cl)C)OC(=O)C,0.0,0.0,0.0,1.0,implicit,implicit,implicit,explicit
174,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,0.0,0.0,0.0,1.0,implicit,implicit,implicit,explicit
